"","weight","set"
"AFDN",-0.000159081175121325,"Other"
"AFF1",-0.000658318648808149,"Other"
"AFF2",-0.00542422211027263,"Other"
"AFF3",0.00407871375905421,"Other"
"AFF4",3.8067817874885e-05,"Other"
"AFG1L",-0.00130695570388029,"Other"
"AFG3L2",-0.00067605290914423,"Other"
"AFMID",-9.98189487264997e-05,"Other"
"AFP",-0.00592404166467434,"Other"
"AFTPH",-0.000217591974553754,"Other"
"AGA",0.001159233007223,"Other"
"AGAP1",-0.000413730490350267,"Other"
"AGAP3",0.000278008255520159,"Other"
"AGAP4",0.000308994030200098,"Other"
"AGAP5",0.000741540351884285,"Other"
"AGAP6",0.00129178582094393,"Other"
"AGAP9",0.000452172285702177,"Other"
"AGBL3",0.00321889795368967,"Other"
"AGBL5",-0.000240313162393432,"Other"
"AGER",-0.00120198562374688,"Other"
"AGFG1",-0.000119134285008223,"Other"
"AGFG2",-0.000963723464223317,"Other"
"AGGF1",4.65935231447787e-05,"Other"
"AGK",-0.00087746834694399,"Other"
"AGL",0.000568891565980536,"Other"
"AGMAT",0.000242672555589695,"Other"
"AGO1",-0.000447470001304415,"Other"
"AGO2",-0.0010484491584679,"Other"
"AGO3",-0.00034982166784039,"Other"
"AGO4",0.000285468242939891,"Other"
"AGPAT1",0.000274276858027651,"Other"
"AGPAT2",0.000702427705958448,"Other"
"AGPAT3",-0.000820204644692556,"Other"
"AGPAT4",-0.00138659454896368,"Other"
"AGPAT5",-0.00121208134334084,"Other"
"AGPS",0.000296184397296488,"Other"
"AGR2",-0.000139991959357171,"Other"
"AGRN",0.00119645304736348,"Other"
"AGT",0.00840019446970421,"Other"
"AGTPBP1",0.000298815266624628,"Other"
"AGTR1",-0.0048651160610689,"Other"
"AGTRAP",0.000638518455560458,"Other"
"AHCTF1",-0.000398899376410969,"Other"
"AHCY",-0.000270555355115789,"Other"
"AHCYL1",0.000139900478527871,"Other"
"AHCYL2",0.000161633471417176,"Other"
"AHDC1",-0.000704210164045802,"Other"
"AHI1",0.000275057227434206,"Other"
"AHNAK",-0.000457088543552454,"Other"
"AHNAK2",0.00115327896101516,"Other"
"AHR",0.000985565041865648,"Other"
"AHRR",0.00119834683716925,"Other"
"AHSA1",0.000236882302215894,"Other"
"AIDA",1.01338082735867e-05,"Other"
"AIF1L",0.00103886999099725,"Other"
"AIFM1",-0.000677222961540342,"Other"
"AIFM2",-0.00178048069819263,"Other"
"AIFM3",-0.00409318350765405,"Other"
"AIG1",0.000646911337415678,"Other"
"AIMP1",0.000199407383322141,"Other"
"AIMP2",-0.00104653777895047,"Other"
"AIP",-0.000250494094507872,"Other"
"AJAP1",-0.0116071351152919,"Other"
"AJM1",0.00214156618552504,"Other"
"AJUBA",-0.00154088575573276,"Other"
"AK1",0.0012082106049029,"Other"
"AK2",-0.00036743556724712,"Other"
"AK3",0.0018829200579784,"Other"
"AK4",0.00452463493494505,"Other"
"AK5",0.00199641098313196,"Other"
"AK6",0.000251107693021456,"Other"
"AK7",-0.00852305235706404,"Other"
"AK9",-0.00030121129324512,"Other"
"AKAP1",-0.00062492130727822,"Other"
"AKAP10",-9.49433501514611e-06,"Other"
"AKAP11",0.000149830592132007,"Other"
"AKAP12",0.000945945268931016,"Other"
"AKAP13",-4.26767158276258e-05,"Other"
"AKAP17A",0.000524133298511671,"Other"
"AKAP2",0.00203821156535209,"Other"
"AKAP6",-0.000915347295371248,"Other"
"AKAP7",-0.000888613350797946,"Other"
"AKAP8",-0.000599991002927554,"Other"
"AKAP8L",0.000870191839502137,"Other"
"AKAP9",0.000679513337322263,"Other"
"AKIP1",0.000795540003518475,"Other"
"AKIRIN1",0.0012033347094823,"Other"
"AKIRIN2",-0.000338028190381718,"Other"
"AKNA",-0.00189426883769668,"Other"
"AKNAD1",-0.00296846790467185,"Other"
"AKR1A1",-0.00042531461603499,"Other"
"AKR1B1",0.000966371053246678,"Other"
"AKR1B10",0.00834080487879096,"Other"
"AKR1C1",-0.00051138878691244,"Other"
"AKR1C2",-0.00108929486956264,"Other"
"AKR1C3",-0.0036471935440334,"Other"
"AKR1E2",-6.67894883036869e-05,"Other"
"AKR7A2",0.000324619227376481,"Other"
"AKT1",-0.000395394536924902,"Other"
"AKT1S1",-0.000500828148877708,"Other"
"AKT2",-0.000246423878839747,"Other"
"AKT3",-4.02174887480603e-05,"Other"
"AKTIP",0.000936424504900028,"Other"
"AL020996.2",0.0061856843381079,"Other"
"AL021546.1",0.00450436680193053,"Other"
"AL022238.4",0.00361686292032309,"Other"
"AL022312.1",-0.000701046109079457,"Other"
