"","expression","weight","gene","threshold"
"AC090004.1",-0.011400470291157,0.000885618670257413,"AC090004.1","Positive"
"AC090517.4",-0.0615890264826894,-0.00628794441659304,"AC090517.4","Negative"
"AC090527.2",0.192073157540971,0.00513489973170528,"AC090527.2","Positive"
"AC091021.1",0.0166516604727803,0.00101842670232523,"AC091021.1","Positive"
"AC091057.6",-0.0837184642973111,-0.00169169425120276,"AC091057.6","Negative"
"AC091551.1",0.0197710063114678,0.0012611649139389,"AC091551.1","Positive"
"AC091959.3",-0.0886720361269567,-0.00356534017606389,"AC091959.3","Negative"
"AC092042.3",-0.228654973973679,-0.0113815512359273,"AC092042.3","Negative"
"AC092072.1",-0.00782193790707316,-0.000121216407260549,"AC092072.1","Negative"
"AC092073.1",-0.0210609681489595,2.54405949109083e-06,"AC092073.1","Positive"
"AC092143.1",-0.188815520665765,-0.0136353185690211,"AC092143.1","Negative"
"AC092161.1",-0.0156840378310954,0.000628206861799345,"AC092161.1","Positive"
"AC092338.1",-0.00662624920809101,-0.000463610515413876,"AC092338.1","Negative"
"AC092587.1",0.155423732779713,0.0134297604124469,"AC092587.1","Positive"
"AC092647.5",-0.0490548458323181,-0.00699516204186101,"AC092647.5","Negative"
"AC092718.3",-0.027224954993293,0.00253869881039466,"AC092718.3","Positive"
"AC092724.1",-0.00476855063393311,-0.00304521547794872,"AC092724.1","Negative"
"AC092835.1",-0.013570461787993,-0.00167663302246807,"AC092835.1","Negative"
"AC092881.1",0.0067736569801976,0.000481326956693736,"AC092881.1","Positive"
"AC093323.1",0.00965840639915912,0.000449787045777522,"AC093323.1","Positive"
"AC093423.3",-0.100893169819882,-0.0111557817863589,"AC093423.3","Negative"
"AC093512.2",-0.0733043262561945,-0.00416374296268986,"AC093512.2","Negative"
"AC093525.1",-0.0734218913231717,-0.00092074476355637,"AC093525.1","Negative"
"AC093525.2",-0.0699335544387727,0.000286989321217326,"AC093525.2","Positive"
"AC093668.1",-0.0659077646446544,0.0052567160675122,"AC093668.1","Positive"
"AC093668.2",-0.068468533676298,-0.00392151788653348,"AC093668.2","Negative"
"AC093827.5",-6.4631828223894e-05,-0.00106842806796116,"AC093827.5","Negative"
"AC093884.1",0.0101608955154435,0.0152348044964965,"AC093884.1","Positive"
"AC093899.2",0.0327161010026338,0.0123639293742802,"AC093899.2","Positive"
"AC098484.3",0.0161473495227903,0.00381459115767035,"AC098484.3","Positive"
"AC098582.1",-0.017877953184972,-0.00222267215403657,"AC098582.1","Negative"
"AC098850.3",-0.029895702696497,-0.00242670393034804,"AC098850.3","Negative"
"AC099811.2",-0.0600567232606091,-0.00163954484869408,"AC099811.2","Negative"
"AC099850.2",-0.110726044199218,-0.00330330735400344,"AC099850.2","Negative"
"AC104109.3",-0.205834254366605,-0.0110964990869475,"AC104109.3","Negative"
"AC104389.5",0.0122046008009953,-0.00196868781552053,"AC104389.5","Negative"
"AC104452.1",-0.0176732565112638,0.000910948601470105,"AC104452.1","Positive"
"AC105052.1",-0.00884449824248976,0.00194692045391193,"AC105052.1","Positive"
"AC105052.3",-0.00324947112715165,9.77615127691199e-05,"AC105052.3","Positive"
"AC106886.5",-0.0306606871425609,-0.00242412905783557,"AC106886.5","Negative"
"AC107871.1",-0.0571976087460492,-0.00343891364144866,"AC107871.1","Negative"
"AC108488.2",-0.0461767102868556,-0.000649176727214439,"AC108488.2","Negative"
"AC110275.1",0.136892367257667,-0.0018255740453217,"AC110275.1","Negative"
"AC112128.1",0.041728127878706,-0.00214776632184335,"AC112128.1","Negative"
"AC114490.2",-0.00119872003071359,-0.00190900413636262,"AC114490.2","Negative"
"AC114490.3",0.156671881956372,0.0154147687819701,"AC114490.3","Positive"
"AC116366.3",0.0195799512665079,-0.000472409156663367,"AC116366.3","Negative"
"AC117378.1",0.0150420197395443,0.00041732580565953,"AC117378.1","Positive"
"AC118549.1",-0.000975877280150673,0.0003661709596932,"AC118549.1","Positive"
"AC118553.2",0.0121543566845128,-0.00222219099285947,"AC118553.2","Negative"
"AC118754.1",-4.77620007969795e-05,0.00368977560840352,"AC118754.1","Positive"
"AC119674.2",-0.0522070846980797,-0.0035227101070383,"AC119674.2","Negative"
"AC120057.2",-0.0334177103709256,-0.00527730376542104,"AC120057.2","Negative"
"AC120114.4",0.0680228508329109,0.00936348702812349,"AC120114.4","Positive"
"AC124319.1",0.0154735236165275,-0.000111083277038833,"AC124319.1","Negative"
"AC129492.1",-0.0311146568827478,-0.00240893227356307,"AC129492.1","Negative"
"AC129492.4",0.0159940256574782,-0.000477175261631382,"AC129492.4","Negative"
"AC131160.1",-0.0329648191758565,0.000270503925159837,"AC131160.1","Positive"
"AC135050.2",-0.0306991513003254,0.00207383948349152,"AC135050.2","Positive"
"AC135178.2",-0.0157989119362819,-0.000964975676270411,"AC135178.2","Negative"
"AC137834.1",-0.0332355771195899,0.00321338541711858,"AC137834.1","Positive"
"AC138811.2",-0.0998164828769195,-0.00228133516283425,"AC138811.2","Negative"
"AC138894.1",0.0290366299029773,0.00256698436540833,"AC138894.1","Positive"
"AC138969.1",-0.00234641842495339,-0.000386733366932729,"AC138969.1","Negative"
"AC139530.1",0.0229012039063694,0.00372276359727151,"AC139530.1","Positive"
"AC139530.3",-0.167411819610127,-0.000459299512389581,"AC139530.3","Negative"
"AC139768.1",-0.0320286352580918,-0.00095473010581874,"AC139768.1","Negative"
"AC142391.1",-9.51441034410778e-05,0.00623674793729722,"AC142391.1","Positive"
"AC231657.3",0.0559927439893532,0.00549917377242282,"AC231657.3","Positive"
"AC239811.1",0.00455340967024206,-0.000127691826712969,"AC239811.1","Negative"
"AC242843.1",-0.0007899349012889,-1.11117661501749e-05,"AC242843.1","Negative"
"AC243547.3",0.0483470301155279,0.0119238986236748,"AC243547.3","Positive"
"AC244197.3",0.0891755997544255,0.00311427861469134,"AC244197.3","Positive"
"AC245033.1",-0.113604142877351,-0.00158984458953151,"AC245033.1","Negative"
"AC253536.7",-0.0980886136998416,-0.0028720584842259,"AC253536.7","Negative"
"AC253572.1",0.0132185740974408,-0.000508045078370909,"AC253572.1","Negative"
"ACAA1",0.0199387056303177,0.000944380920712929,"ACAA1","Positive"
"ACAA2",-0.0128980545981795,-0.000686537223051383,"ACAA2","Negative"
"ACACA",-0.0120789961006079,-0.00159333887624038,"ACACA","Negative"
"ACACB",-0.0411778040753528,-0.00395183987143006,"ACACB","Negative"
"ACAD10",-0.00754555548376411,-6.38698704795496e-05,"ACAD10","Negative"
"ACAD11",0.035913387552915,0.00160829331433902,"ACAD11","Positive"
"ACAD8",0.0166747725965528,0.000540949000074556,"ACAD8","Positive"
"ACAD9",-0.00760696736054884,-8.03902829055367e-05,"ACAD9","Negative"
"ACADM",-0.0115063319849493,-0.000705319538652266,"ACADM","Negative"
"ACADS",-0.0268769764982435,-0.000163078285632886,"ACADS","Negative"
"ACADSB",-0.0145235386571229,-0.00066779379985759,"ACADSB","Negative"
"ACADVL",0.0254260965578808,0.00226582785493741,"ACADVL","Positive"
"ACAN",-0.213445705971067,-0.00972699817225857,"ACAN","Negative"
"ACAP1",0.00475731125035524,0.00168943845711845,"ACAP1","Positive"
"ACAP2",0.0327733230661736,0.00106212449426994,"ACAP2","Positive"
"ACAP3",-0.0114893939500929,0.000487863542886664,"ACAP3","Positive"
"ACAT1",0.00561247649333932,0.000392746059702992,"ACAT1","Positive"
"ACAT2",-0.0688749624512401,-0.00548540260329304,"ACAT2","Negative"
"ACBD3",0.0143035925617878,0.000286268879667701,"ACBD3","Positive"
"ACBD4",-0.00863318832183383,5.64672688861904e-05,"ACBD4","Positive"
"ACBD5",-0.000932495694181316,0.000202055765657324,"ACBD5","Positive"
"ACBD6",-0.0108288289872161,-0.00133555554269656,"ACBD6","Negative"
"ACCS",0.00925176477980806,0.00102254147816477,"ACCS","Positive"
"ACCSL",-0.0327659389206297,-0.000328213704197129,"ACCSL","Negative"
"ACD",-0.0268195225614829,-0.000607302915386097,"ACD","Negative"
"ACE",0.0265204508656784,0.00390617200265029,"ACE","Positive"
"ACER2",0.0415850604382249,0.000912115637805215,"ACER2","Positive"
"ACER3",-0.0162178916233738,-0.00123649872193924,"ACER3","Negative"
"ACHE",-0.00662377818476737,-0.00233133466929827,"ACHE","Negative"
"ACIN1",0.00898957732152631,0.000519068002758197,"ACIN1","Positive"
"ACKR3",0.121620034251397,0.00951612921221498,"ACKR3","Positive"
