"","method","unit","AUC","dataset"
"Tang2019.99","CDKN2A","Fold07.Rep2",0.45723861882716,"Tang2019"
"Tang2019.100","LMNB1","Fold07.Rep2",0.498590856481481,"Tang2019"
"Tang2019.101","CDKN2B","Fold07.Rep2",0.496678240740741,"Tang2019"
"Tang2019.102","SERPINE1","Fold07.Rep2",0.698065200617284,"Tang2019"
"Tang2019.103","hUSI","Fold08.Rep2",0.829178240740741,"Tang2019"
"Tang2019.104","CDKN1A","Fold08.Rep2",0.708540702160494,"Tang2019"
"Tang2019.105","CDKN2A","Fold08.Rep2",0.459592978395062,"Tang2019"
"Tang2019.106","LMNB1","Fold08.Rep2",0.497201967592593,"Tang2019"
"Tang2019.107","CDKN2B","Fold08.Rep2",0.49802662037037,"Tang2019"
"Tang2019.108","SERPINE1","Fold08.Rep2",0.693170331790123,"Tang2019"
"Tang2019.109","hUSI","Fold09.Rep2",0.820769675925926,"Tang2019"
"Tang2019.110","CDKN1A","Fold09.Rep2",0.711121720679012,"Tang2019"
"Tang2019.111","CDKN2A","Fold09.Rep2",0.455923032407407,"Tang2019"
"Tang2019.112","LMNB1","Fold09.Rep2",0.498590856481481,"Tang2019"
"Tang2019.113","CDKN2B","Fold09.Rep2",0.494016203703704,"Tang2019"
"Tang2019.114","SERPINE1","Fold09.Rep2",0.696049382716049,"Tang2019"
"Tang2019.115","hUSI","Fold10.Rep2",0.826903935185185,"Tang2019"
"Tang2019.116","CDKN1A","Fold10.Rep2",0.701036844135802,"Tang2019"
"Tang2019.117","CDKN2A","Fold10.Rep2",0.46141975308642,"Tang2019"
"Tang2019.118","LMNB1","Fold10.Rep2",0.497220293209876,"Tang2019"
"Tang2019.119","CDKN2B","Fold10.Rep2",0.498107638888889,"Tang2019"
"Tang2019.120","SERPINE1","Fold10.Rep2",0.697052469135803,"Tang2019"
"Tang2019.121","hUSI","Fold01.Rep3",0.821367669753086,"Tang2019"
"Tang2019.122","CDKN1A","Fold01.Rep3",0.713460648148148,"Tang2019"
"Tang2019.123","CDKN2A","Fold01.Rep3",0.454398148148148,"Tang2019"
"Tang2019.124","LMNB1","Fold01.Rep3",0.498611111111111,"Tang2019"
"Tang2019.125","CDKN2B","Fold01.Rep3",0.494650848765432,"Tang2019"
"Tang2019.126","SERPINE1","Fold01.Rep3",0.702871334876543,"Tang2019"
"Tang2019.127","hUSI","Fold02.Rep3",0.832465277777778,"Tang2019"
"Tang2019.128","CDKN1A","Fold02.Rep3",0.718583140432099,"Tang2019"
"Tang2019.129","CDKN2A","Fold02.Rep3",0.460859375,"Tang2019"
"Tang2019.130","LMNB1","Fold02.Rep3",0.499309413580247,"Tang2019"
"Tang2019.131","CDKN2B","Fold02.Rep3",0.497356288580247,"Tang2019"
"Tang2019.132","SERPINE1","Fold02.Rep3",0.698208912037037,"Tang2019"
"Tang2019.133","hUSI","Fold03.Rep3",0.826091820987654,"Tang2019"
"Tang2019.134","CDKN1A","Fold03.Rep3",0.698872492283951,"Tang2019"
"Tang2019.135","CDKN2A","Fold03.Rep3",0.457847222222222,"Tang2019"
"Tang2019.136","LMNB1","Fold03.Rep3",0.497893518518518,"Tang2019"
"Tang2019.137","CDKN2B","Fold03.Rep3",0.495318287037037,"Tang2019"
"Tang2019.138","SERPINE1","Fold03.Rep3",0.693985339506173,"Tang2019"
"Tang2019.139","hUSI","Fold04.Rep3",0.831585648148148,"Tang2019"
"Tang2019.140","CDKN1A","Fold04.Rep3",0.707091049382716,"Tang2019"
"Tang2019.141","CDKN2A","Fold04.Rep3",0.462164351851852,"Tang2019"
"Tang2019.142","LMNB1","Fold04.Rep3",0.497216435185185,"Tang2019"
"Tang2019.143","CDKN2B","Fold04.Rep3",0.49326099537037,"Tang2019"
"Tang2019.144","SERPINE1","Fold04.Rep3",0.700532407407407,"Tang2019"
"Tang2019.145","hUSI","Fold05.Rep3",0.837953317901235,"Tang2019"
"Tang2019.146","CDKN1A","Fold05.Rep3",0.711856674382716,"Tang2019"
"Tang2019.147","CDKN2A","Fold05.Rep3",0.464500385802469,"Tang2019"
"Tang2019.148","LMNB1","Fold05.Rep3",0.498572530864198,"Tang2019"
"Tang2019.149","CDKN2B","Fold05.Rep3",0.499506172839506,"Tang2019"
"Tang2019.150","SERPINE1","Fold05.Rep3",0.693557098765432,"Tang2019"
"Tang2019.151","hUSI","Fold06.Rep3",0.822152777777778,"Tang2019"
"Tang2019.152","CDKN1A","Fold06.Rep3",0.711493055555556,"Tang2019"
"Tang2019.153","CDKN2A","Fold06.Rep3",0.461333912037037,"Tang2019"
"Tang2019.154","LMNB1","Fold06.Rep3",0.499983603395062,"Tang2019"
"Tang2019.155","CDKN2B","Fold06.Rep3",0.493958333333333,"Tang2019"
