Gene,Weight,Derection
GCNA,0.007425601,Positive
TREM2,0.00742401,Positive
HLA-G,0.007405964,Positive
CHMP4C,0.007382234,Positive
SLC49A3,0.007377046,Positive
TNFRSF10D,0.007368589,Positive
ADD2,0.007349916,Positive
ASPHD1,0.007344707,Positive
MYOZ3,0.007334457,Positive
THBD,0.007333433,Positive
CTSE,0.0073103,Positive
RNF128,0.007303872,Positive
HLA-F,0.007299069,Positive
TRPV2,0.007295776,Positive
KRTAP2-4,0.007283051,Positive
LIN7B,0.007268097,Positive
NEFM,0.007265397,Positive
TACSTD2,0.00724798,Positive
CYS1,0.007247504,Positive
FOLR1,0.007236499,Positive
NTN1,0.007235535,Positive
GCOM1,0.00723271,Positive
LCN2,0.007209261,Positive
GJB1,0.007209174,Positive
CCDC180,0.007205303,Positive
CPA4,0.007203996,Positive
B4GALT6,0.007191042,Positive
MGAT3,0.007181962,Positive
PHYHIPL,0.007178823,Positive
INHBB,0.007177435,Positive
APBB1IP,0.007154678,Positive
ALDH3B2,0.007148354,Positive
GAB3,0.007145914,Positive
KIAA1671,0.007136687,Positive
TFAP2C,0.007136005,Positive
RAB9B,0.007106369,Positive
MADCAM1,0.007083778,Positive
FRMD3,0.007081445,Positive
MMP1,0.007080304,Positive
ZBTB32,0.007074055,Positive
TMEM217,0.007072294,Positive
C19orf81,0.007063144,Positive
PIK3R3,0.007058355,Positive
NDRG2,0.007055096,Positive
SLC25A27,0.007034998,Positive
PNPLA1,0.007023779,Positive
RASD1,0.007021898,Positive
GPR155,0.007008975,Positive
MRAP2,0.00699878,Positive
LHX6,0.006992222,Positive
RALYL,0.006988594,Positive
CYP4X1,0.006986182,Positive
HAVCR1,0.006985825,Positive
TNNT1,0.00697897,Positive
NOVA2,0.00695328,Positive
SLC34A3,0.006949841,Positive
MERTK,0.006948944,Positive
PYHIN1,0.006945738,Positive
P2RY11,0.006938892,Positive
GBX2,0.00693552,Positive
RELN,0.006928093,Positive
TLR1,0.006916048,Positive
ALDH1A2,0.006912547,Positive
HAPLN3,0.006911813,Positive
PALM,0.006887422,Positive
NRCAM,0.006885869,Positive
KCNH8,0.006882752,Positive
CD82,0.006881794,Positive
ANK3,0.006881057,Positive
UTS2,0.006876333,Positive
SLC35F3,0.006875794,Positive
GSG1,0.006864738,Positive
MYCN,0.006858934,Positive
PAQR9,0.00685573,Positive
EFCC1,0.006854829,Positive
SLC43A2,0.006851083,Positive
LGR5,0.006838776,Positive
PLXNB3,0.006838026,Positive
PLAAT1,0.006830955,Positive
FAM47E,0.006827317,Positive
VPREB3,0.006826047,Positive
PHOSPHO1,0.006821102,Positive
PLA2G7,0.006816089,Positive
KIRREL2,0.006798517,Positive
NTRK3,0.006793841,Positive
CCDC188,0.006791922,Positive
CASKIN1,0.006791724,Positive
CCDC85A,0.006786726,Positive
MACC1,0.006778227,Positive
DHX58,0.006775993,Positive
ESM1,0.006771162,Positive
GRID2,0.006762636,Positive
PLEKHG5,0.006761819,Positive
FBN3,0.006758441,Positive
KIF12,0.006750924,Positive
CACNG5,0.006747115,Positive
TNFRSF10A,0.006746379,Positive
CHAD,0.006725401,Positive
RAB6B,0.006719552,Positive
POU3F1,0.006719044,Positive
LY75-CD302,0.006716041,Positive
KIAA0408,0.006712927,Positive
DACT3,0.006702088,Positive
KLHL14,0.006698658,Positive
BAIAP2L2,0.006692009,Positive
ADRA2A,0.006689624,Positive
C16orf89,0.006689279,Positive
LIPG,0.006682369,Positive
TMEM150C,0.006671509,Positive
DPP6,0.006668512,Positive
MCTP1,0.006668019,Positive
TMC6,0.006666563,Positive
NPAS1,0.006665932,Positive
UGT2B7,0.006661538,Positive
PRSS23,0.006654324,Positive
CYP3A4,0.006639129,Positive
LRRN3,0.006612915,Positive
PLCXD2,0.006601465,Positive
WNT9A,0.006601343,Positive
CCL4,0.006596026,Positive
IFIT1B,0.006581231,Positive
RHBDL1,0.006580881,Positive
MLC1,0.00657923,Positive
ENDOU,0.006574558,Positive
TP53INP1,0.006569428,Positive
LINGO3,0.006557063,Positive
UGT1A1,0.006543309,Positive
